claim_id,section,claim_kind,claim_text_sha256,evidence_ids,verification_status,uncertainty,analysis_intent
C001,Introduction,factual,9eb3dfea7623454e5969427c12a2849c717f8c7399359c557ba49571ee1b4d0d,E007;E016,source_open_required,moderate,descriptive
C002,Theory,method,0a772bdb33669d438fc35bec8c835343adc6097c9e2d115a9b1205360e4f0495,E001;E002;E011,source_open_required,moderate,descriptive
C003,Measurement,factual,25162c2ff8641ed038e52413f1005cf8538e7fbe5ba4a7254644ffcc33f714e0,E003;E008,source_open_required,moderate,descriptive
C004,Sensitivity,factual,08534413998d22074d7cad1eed576f1403d9f3d57bed3965ceac6975ae254ff1,E004;E011,source_open_required,moderate,descriptive
C005,SpecimenDesign,factual,05997d66c0a66e6b2d88d88ff0914ae169b053eee95fd3890b0b2f3b0ef23a5b,E006;E013;E014,source_open_required,moderate,descriptive
C006,Limitations,declaration,6648e78d77fcaa196b2e38367fac07fc417408c7118ebaa6cdccbf3ac3454e37,E017,verified,not_applicable,descriptive
C007,Statistics,method,3d5a125333ca07eb2d593e0ff02b4f2ffe87c118fabd805873efec3168ca4e37,E010,author_approval_required,high,confirmatory
C008,Validation,method,1cdde127763b393418a15a7064dd7a0cb2e00370f3be484b415b3d9b4a3436c9,E001;E002;E004,author_approval_required,high,confirmatory
C009,Measurement,method,d04c14347e1f79ad5ca87b71b98ad5a0a2d7ed8267aa401078b6bc1f846eb573,E009;E010;E018,source_open_required,moderate,descriptive
C010,Results,numeric,5aa75496755746eaa14f9a9d23f761e98b5e0637696cdba5c90546ad12782b45,E019;E022,verified,not_estimated,descriptive
C011,Results,numeric,f10f7893c1080ebbc0a1239034b2b82c332188cb54aa90b530e4ee14e164a1b4,E020;E022,verified,not_estimated,descriptive
C012,Method,numeric,9e62d35aae325173bc6cbdc9487e32e842cf39442efbff32ef985693355d6346,E020;E021,verified,moderate,descriptive
C013,Sensitivity,result,8f870fd5dd7a496abee36937b69faf4fc278ce1ffc39145aa6eb55f5209989ed,E023,verified,moderate,exploratory
C014,Results,declaration,7e56aa80f6ef42b28f9d3171d010f770d52fcbdd23c70115b72356f359434068,E020;E021,verified,not_estimated,descriptive
C015,Results,result,a476ed37662c4ce76de1acc19ed94b469966cb23657d8e142066d93410b9a190,E019;E020,verified,moderate,descriptive
C016,DICQuality,declaration,0592031730a4a91a4b5fd4507de8dff4bf893550454ad89f581cc6ce111159bc,E019,verified,high,descriptive
