test_id,direction,speed_mm_s,jpeg_frames,force_samples,image_frequency_est_Hz,camera_frequency_nominal_Hz,force_frequency_effective_Hz,image_window_s_est,force_window_s,force_displacement_mm,m2inp_frames,dic_csv_unique_frames,onset_frame_est,peak_frame_est,drop_frame_est,last_frame,visual_last_candidate,sync_status,vfm_eligible,active_force_peak_X_N,active_force_peak_Y_N
XY_X-05-0.1-01,X,0.2,165,14735,11.691737363655808,10.0,998.6444354073471,14.027,14.754,2.9508,130,151,0,141,142,164,待核验（建议回溯至 ROI 完整帧）,estimated_unique_force_value,False,1112.5,
XY_X-06-1.0-01,X,2.0,133,2789,49.162011173184354,50.0,999.6414485478666,2.685,2.789,5.578,133,133,0,58,61,132,132,estimated_unique_force_value,False,1182.5,
XY_X-07-10-01,X,20.0,81,402,227.9202279202279,200.0,999.9999999999999,0.35100000000000003,0.401,8.02,81,81,0,28,40,80,待核验,estimated_unique_force_value,False,935.5,
XY_Xy-0.1-01,XY,0.2,289,36244,7.978281345226883,,998.4297520661157,36.098,36.3,7.26,289,289,0,223,226,288,288,estimated_unique_force_value,False,1599.9374999999998,1604.5
XY_XY-0.1-02,XY,0.2,259,27980,9.30199019325065,,997.504367357125,27.736,28.049,5.6098,10,259,0,235,237,258,258（DIC 输入未覆盖）,estimated_unique_force_value,False,1617.0,1598.0
XY_Xy-03-10-01,XY,20.0,21,511,43.47826086956522,,1000.0,0.46,0.51,10.2,21,21,0,7,9,20,20,estimated_unique_force_value,False,1687.5,1649.0
XY_Xy-04-1-01,XY,2.0,267,4570,58.81052398850321,,998.4702797202798,4.523,4.576,9.152,267,267,0,142,147,266,250/266（待核验）,estimated_unique_force_value,False,1522.0,1520.0
XY_Y-09-0.1-02,Y,0.2,1825,179260,10.190456503399613,10.0,998.5683727355779,178.99099999999999,179.516,35.9032,1825,1825,0,1112,1819,1824,1824,estimated_unique_force_value,False,,1488.0
XY_Y-10-1-01,Y,2.0,1558,15328,102.08497246262786,101.0,998.6968137095198,15.251999999999999,15.347,30.694,1558,1558,0,888,,1557,1557（事件类型待核验）,estimated_unique_force_value,False,,1459.5
XY_Y-11-10-01,Y,20.0,711,1889,375.6613756613757,375.0,998.941798941799,1.89,1.89,37.8,711,711,,0,,710,710,estimated_preloaded_start,False,,1555.5
