test_id,direction,speed_mm_s,event_type,image_frame,image_file,t_image_s_est,event_time_s,force_mapping_status,visual_endpoint_evidence,event_alignment_status,event_vfm_ready,X1_Press_N,X2_Press_N,Y1_Press_N,Y2_Press_N,X1_Pos_mm,X2_Pos_mm,Y1_Pos_mm,Y2_Pos_mm
XY_X-05-0.1-01,X,0.2,load_onset,0,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000000.jpg,0.727,0.727,estimated_from_endpoint_time_map,末端 Img000128/129 起离开 ROI，Img000164 不作为破坏终点,event_frames_estimated_endpoint_review,False,-39.0,-38.0,-5.0,-3.0,21.6758,19.6357,39.4775,0.0801
XY_X-05-0.1-01,X,0.2,force_peak,141,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000141.jpg,12.786798780487805,12.782,estimated_from_endpoint_time_map,末端 Img000128/129 起离开 ROI，Img000164 不作为破坏终点,event_frames_estimated_endpoint_review,False,-1113.0,-1112.0,-4.0,-4.0,23.216153048780466,21.189370731707296,39.47731890243902,0.0798987804878046
XY_X-05-0.1-01,X,0.2,force_drop,142,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000142.jpg,12.872329268292683,12.837,estimated_from_endpoint_time_map,末端 Img000128/129 起离开 ROI，Img000164 不作为破坏终点,event_frames_estimated_endpoint_review,False,-7.0,-9.0,-4.0,-2.0,23.042670731707318,20.94078902439024,39.4746,0.07842926829268317
XY_X-05-0.1-01,X,0.2,file_last,164,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000164.jpg,14.754,,estimated_from_endpoint_time_map,末端 Img000128/129 起离开 ROI，Img000164 不作为破坏终点,event_frames_estimated_endpoint_review,False,-7.0,-8.0,-4.0,-3.0,23.0791,21.0381,39.4766,0.0762
XY_X-06-1.0-01,X,2.0,load_onset,0,XY/袁-20250529/X-06-1.0-01/Test1/33061_1_20/Img000000.jpg,0.104,0.104,estimated_from_endpoint_time_map,Img000132 可见断裂/破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-83.0,-84.0,-4.0,-3.0,10.7002,8.6943,39.4863,0.0752
XY_X-06-1.0-01,X,2.0,force_peak,58,XY/袁-20250529/X-06-1.0-01/Test1/33061_1_20/Img000058.jpg,1.2837727272727273,1.281,estimated_from_endpoint_time_map,Img000132 可见断裂/破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-1182.0,-1183.0,-4.0,-3.0,12.283936363636364,10.301436363636364,39.4863,0.07542727272727272
XY_X-06-1.0-01,X,2.0,force_drop,61,XY/袁-20250529/X-06-1.0-01/Test1/33061_1_20/Img000061.jpg,1.3447954545454546,1.336,estimated_from_endpoint_time_map,Img000132 可见断裂/破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-154.0,-114.0,-4.0,-4.0,12.135309090909091,10.100602272727274,39.49060909090909,0.06680681818181827
XY_X-06-1.0-01,X,2.0,file_last,132,XY/袁-20250529/X-06-1.0-01/Test1/33061_1_20/Img000132.jpg,2.789,,estimated_from_endpoint_time_map,Img000132 可见断裂/破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-7.0,-8.0,-4.0,-3.0,13.4102,11.3906,39.4834,0.0723
XY_X-06-1.0-01,X,2.0,visual_last_event,132,XY/袁-20250529/X-06-1.0-01/Test1/33061_1_20/Img000132.jpg,2.789,,estimated_from_endpoint_time_map,Img000132 可见断裂/破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-7.0,-8.0,-4.0,-3.0,13.4102,11.3906,39.4834,0.0723
XY_X-07-10-01,X,20.0,load_onset,0,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000000.jpg,0.05,0.05,estimated_from_endpoint_time_map,Img000080 模糊，末端破坏未确认,event_frames_estimated_endpoint_review,False,-82.0,-89.0,-4.0,-3.0,9.3086,7.3174,39.4893,0.0723
XY_X-07-10-01,X,20.0,force_peak,28,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000028.jpg,0.17285,0.171,estimated_from_endpoint_time_map,Img000080 模糊，末端破坏未确认,event_frames_estimated_endpoint_review,False,-931.0,-940.0,-4.0,-3.0,11.03679,9.104175000000001,39.4893,0.0732
XY_X-07-10-01,X,20.0,force_drop,40,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000040.jpg,0.22550000000000003,0.226,estimated_from_endpoint_time_map,Img000080 模糊，末端破坏未确认,event_frames_estimated_endpoint_review,False,-147.49999999999574,-112.99999999999622,-4.0,-4.0,11.28225,9.115699999999999,39.48975,0.06544999999999995
XY_X-07-10-01,X,20.0,file_last,80,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000080.jpg,0.401,,estimated_from_endpoint_time_map,Img000080 模糊，末端破坏未确认,event_frames_estimated_endpoint_review,False,-7.0,-8.0,-4.0,-3.0,12.9551,10.9619,39.4844,0.0723
XY_Xy-0.1-01,XY,0.2,load_onset,0,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000000.jpg,0.202,0.202,estimated_from_endpoint_time_map,Img000288 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-6.0,-11.0,-22.0,-16.0,10.2168,10.2178,10.2148,10.2139
XY_Xy-0.1-01,XY,0.2,force_peak,223,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000223.jpg,28.152881944444445,28.151,estimated_from_endpoint_time_map,Img000288 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-1592.0,-1607.0,-1611.0,-1597.0,13.0156,13.015481944444446,13.0098,13.012818055555554
XY_Xy-0.1-01,XY,0.2,force_drop,226,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000226.jpg,28.528902777777777,28.503,estimated_from_endpoint_time_map,Img000288 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-11.0,-20.0,-15.0,-9.0,13.250429166666677,13.067533333333357,13.210947222222215,13.370576388888892
XY_Xy-0.1-01,XY,0.2,file_last,288,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000288.jpg,36.3,,estimated_from_endpoint_time_map,Img000288 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-14.0,-25.0,-18.0,-9.0,13.8291,13.8301,13.8242,13.8281
XY_Xy-0.1-01,XY,0.2,visual_last_event,288,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000288.jpg,36.3,,estimated_from_endpoint_time_map,Img000288 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-14.0,-25.0,-18.0,-9.0,13.8291,13.8301,13.8242,13.8281
XY_XY-0.1-02,XY,0.2,load_onset,0,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000000.jpg,0.313,0.313,estimated_from_endpoint_time_map,Img000258 可见破坏；当前 m2inp 覆盖到 Img000257，末帧未覆盖,event_frames_estimated_endpoint_review,False,-24.0,-23.0,-24.0,-18.0,10.2344,10.2256,10.2275,10.2314
XY_XY-0.1-02,XY,0.2,force_peak,235,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000235.jpg,25.576410852713177,25.612,estimated_from_endpoint_time_map,Img000258 可见破坏；当前 m2inp 覆盖到 Img000257，末帧未覆盖,event_frames_estimated_endpoint_review,False,-1617.0,-1616.0,-1610.0,-1583.0,12.7646,12.755310852713176,12.7539,12.7637
XY_XY-0.1-02,XY,0.2,force_drop,237,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000237.jpg,25.79141860465116,25.832,estimated_from_endpoint_time_map,Img000258 可见破坏；当前 m2inp 覆盖到 Img000257，末帧未覆盖,event_frames_estimated_endpoint_review,False,-1435.0,-1421.0,-1408.0,-1381.0,12.929190697674615,12.738516279069804,12.652011627907182,13.440600000000355
XY_XY-0.1-02,XY,0.2,file_last,258,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000258.jpg,28.049,,estimated_from_endpoint_time_map,Img000258 可见破坏；当前 m2inp 覆盖到 Img000257，末帧未覆盖,event_frames_estimated_endpoint_review,False,-18.0,-18.0,-16.0,-10.0,13.0127,13.002,13.001,13.0107
XY_Xy-03-10-01,XY,20.0,load_onset,0,XY/袁-20250529/Xy-03-10-01/Test1/33061_1_17/Img000000.jpg,0.05,0.05,estimated_from_endpoint_time_map,Img000020 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False,-80.0,-88.0,-88.0,-81.0,10.543,10.5459,10.584,10.4775
