试验编号,照片帧号,照片文件,估计时间_s,Fx1力_N,Fx2力_N,Fy1力_N,Fy2力_N,事件标签,同步状态
XY_X-05-0.1-01,0,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000000.jpg,0.727,-39.0,-38.0,-5.0,-3.0,加载起点,估计同步待核验
XY_X-05-0.1-01,1,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000001.jpg,0.812530487804878,-46.0,-45.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,2,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000002.jpg,0.8980609756097561,-56.0,-55.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,3,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000003.jpg,0.9835914634146341,-64.0,-64.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,4,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000004.jpg,1.069121951219512,-75.0,-73.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,5,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000005.jpg,1.1546524390243902,-83.0,-82.0,-5.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,6,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000006.jpg,1.2401829268292683,-91.0,-90.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,7,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000007.jpg,1.3257134146341465,-99.0,-100.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,8,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000008.jpg,1.4112439024390242,-111.0,-109.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,9,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000009.jpg,1.4967743902439024,-117.22560975609773,-118.54878048780454,-4.225609756097731,-3.0,,估计同步待核验
XY_X-05-0.1-01,10,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000010.jpg,1.5823048780487805,-126.0,-126.0,-4.0,-4.0,,估计同步待核验
XY_X-05-0.1-01,11,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000011.jpg,1.6678353658536587,-135.0,-136.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,12,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000012.jpg,1.7533658536585364,-146.0,-145.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,13,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000013.jpg,1.8388963414634145,-152.0,-154.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,14,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000014.jpg,1.9244268292682927,-161.0,-162.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,15,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000015.jpg,2.009957317073171,-171.0,-171.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,16,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000016.jpg,2.0954878048780485,-180.0,-179.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,17,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000017.jpg,2.1810182926829267,-187.0,-188.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,18,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000018.jpg,2.266548780487805,-196.64634146341464,-196.5487804878049,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,19,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000019.jpg,2.352079268292683,-206.0,-205.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,20,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000020.jpg,2.4376097560975607,-214.0,-214.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,21,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000021.jpg,2.523140243902439,-223.0,-223.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,22,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000022.jpg,2.608670731707317,-233.0,-232.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,23,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000023.jpg,2.694201219512195,-240.0,-239.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,24,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000024.jpg,2.779731707317073,-248.0,-248.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,25,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000025.jpg,2.865262195121951,-257.0,-257.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,26,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000026.jpg,2.950792682926829,-267.0,-266.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,27,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000027.jpg,3.0363231707317073,-274.6768292682927,-274.3231707317073,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,28,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000028.jpg,3.1218536585365855,-281.0,-282.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,29,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000029.jpg,3.207384146341463,-290.0,-291.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,30,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000030.jpg,3.2929146341463413,-301.0,-300.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,31,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000031.jpg,3.378445121951219,-307.0,-308.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,32,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000032.jpg,3.463975609756097,-315.0,-316.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,33,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000033.jpg,3.5495060975609753,-326.0,-325.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,34,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000034.jpg,3.635036585365853,-334.0,-334.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,35,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000035.jpg,3.720567073170731,-341.0,-342.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,36,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000036.jpg,3.8060975609756094,-348.3902439024373,-350.0975609756093,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,37,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000037.jpg,3.8916280487804875,-359.0,-358.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,38,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000038.jpg,3.9771585365853657,-367.0,-368.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,39,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000039.jpg,4.062689024390243,-375.0,-376.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,40,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000040.jpg,4.148219512195122,-386.0,-385.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,41,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000041.jpg,4.23375,-393.0,-392.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,42,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000042.jpg,4.319280487804878,-400.0,-401.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,43,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000043.jpg,4.404810975609756,-410.0,-410.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,44,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000044.jpg,4.490341463414635,-419.0,-418.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,45,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000045.jpg,4.575871951219512,-426.0,-425.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,46,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000046.jpg,4.661402439024391,-434.0,-435.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,47,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000047.jpg,4.746932926829268,-443.0,-443.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,48,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000048.jpg,4.832463414634146,-452.0,-452.0,-4.0,-4.0,,估计同步待核验
XY_X-05-0.1-01,49,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000049.jpg,4.917993902439024,-459.0060975609761,-459.9939024390239,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,50,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000050.jpg,5.003524390243903,-466.0,-468.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,51,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000051.jpg,5.08905487804878,-477.0,-476.0,-5.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,52,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000052.jpg,5.174585365853659,-484.0,-485.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,53,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000053.jpg,5.260115853658537,-492.0,-493.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,54,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000054.jpg,5.345646341463415,-500.0,-502.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,55,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000055.jpg,5.431176829268293,-510.0,-509.0,-4.0,-4.0,,估计同步待核验
XY_X-05-0.1-01,56,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000056.jpg,5.5167073170731715,-518.0,-518.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,57,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000057.jpg,5.602237804878048,-526.0,-527.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,58,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000058.jpg,5.687768292682927,-535.3048780487812,-534.768292682927,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,59,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000059.jpg,5.773298780487805,-544.0,-542.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,60,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000060.jpg,5.858829268292683,-549.0,-551.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,61,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000061.jpg,5.944359756097561,-559.0,-559.0,-5.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,62,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000062.jpg,6.029890243902439,-568.0,-568.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,63,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000063.jpg,6.115420731707317,-576.0,-575.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,64,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000064.jpg,6.200951219512195,-581.0,-583.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,65,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000065.jpg,6.286481707317074,-591.0,-591.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,66,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000066.jpg,6.372012195121951,-599.0,-600.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,67,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000067.jpg,6.457542682926829,-606.457317073171,-607.0853658536579,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,68,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000068.jpg,6.543073170731707,-613.0,-615.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,69,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000069.jpg,6.628603658536585,-624.0,-623.0,-5.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,70,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000070.jpg,6.714134146341463,-630.0,-631.0,-4.0,-2.0,,估计同步待核验
XY_X-05-0.1-01,71,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000071.jpg,6.799664634146342,-638.0,-639.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,72,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000072.jpg,6.885195121951219,-645.0,-646.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,73,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000073.jpg,6.970725609756098,-655.0,-654.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,74,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000074.jpg,7.056256097560976,-661.0,-662.0,-4.0,-4.0,,估计同步待核验
XY_X-05-0.1-01,75,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000075.jpg,7.141786585365854,-669.0,-670.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,76,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000076.jpg,7.227317073170732,-675.9512195121953,-677.3170731707318,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,77,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000077.jpg,7.31284756097561,-685.0,-684.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,78,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000078.jpg,7.398378048780487,-691.0,-693.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,79,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000079.jpg,7.483908536585366,-700.0,-700.0,-5.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,80,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000080.jpg,7.569439024390244,-708.0,-708.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,81,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000081.jpg,7.654969512195122,-716.0,-714.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,82,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000082.jpg,7.7405,-721.0,-723.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,83,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000083.jpg,7.826030487804878,-731.0,-730.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,84,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000084.jpg,7.911560975609756,-738.0,-738.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,85,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000085.jpg,7.997091463414634,-744.9085365853659,-744.0914634146341,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,86,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000086.jpg,8.082621951219512,-750.0,-752.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,87,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000087.jpg,8.16815243902439,-761.0,-759.0,-4.0,-3.0,,估计同步待核验
XY_X-05-0.1-01,88,XY/袁-20250529/X-05-0.1-01/Test1/33061_1_19/Img000088.jpg,8.253682926829269,-766.0,-768.0,-4.0,-3.0,,估计同步待核验
