试验编号,照片帧号,照片文件,估计时间_s,Fx1力_N,Fx2力_N,Fy1力_N,Fy2力_N,事件标签,同步状态
XY_X-07-10-01,0,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000000.jpg,0.05,-82.0,-89.0,-4.0,-3.0,加载起点,估计同步待核验
XY_X-07-10-01,1,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000001.jpg,0.054387500000000005,-82.0,-89.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,2,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000002.jpg,0.05877500000000001,-82.0,-89.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,3,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000003.jpg,0.06316250000000001,-150.0,-160.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,4,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000004.jpg,0.06755,-150.0,-160.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,5,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000005.jpg,0.0719375,-229.68750000000057,-247.18750000000063,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,6,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000006.jpg,0.076325,-235.0,-253.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,7,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000007.jpg,0.0807125,-235.0,-253.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,8,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000008.jpg,0.08510000000000001,-333.0,-344.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,9,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000009.jpg,0.0894875,-333.0,-344.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,10,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000010.jpg,0.09387500000000001,-413.50000000000125,-428.00000000000136,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,11,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000011.jpg,0.0982625,-425.0,-440.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,12,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000012.jpg,0.10265,-425.0,-440.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,13,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000013.jpg,0.10703750000000001,-520.0,-533.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,14,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000014.jpg,0.111425,-520.0,-533.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,15,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000015.jpg,0.11581250000000001,-591.5000000000006,-602.0625000000006,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,16,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000016.jpg,0.12020000000000002,-608.0,-618.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,17,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000017.jpg,0.1245875,-608.0,-618.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,18,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000018.jpg,0.128975,-690.0,-705.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,19,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000019.jpg,0.1333625,-690.0,-705.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,20,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000020.jpg,0.13775,-750.0,-762.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,21,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000021.jpg,0.14213750000000003,-770.0,-781.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,22,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000022.jpg,0.14652500000000002,-770.0,-781.0,-4.0,-3.0,,估计同步待核验
XY_X-07-10-01,23,XY/袁-20250529/X-07-10-01/Test1/33061_1_21/Img000023.jpg,0.1509125,-843.0,-855.0,-4.0,-3.0,,估计同步待核验
