试验编号,方向,速度_mm_s,照片帧号,照片文件,估计时间_s,Fx1力_N,Fx2力_N,Fy1力_N,Fy2力_N,事件标签,同步状态
XY_XY-0.1-02,XY,0.2,0,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000000.jpg,0.313,-24.0,-23.0,-24.0,-18.0,加载起点,估计同步待核验
XY_XY-0.1-02,XY,0.2,1,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000001.jpg,0.42050387596899225,-39.0,-37.0,-40.0,-33.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,2,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000002.jpg,0.5280077519379844,-54.0,-56.0,-56.0,-49.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,3,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000003.jpg,0.6355116279069768,-73.0,-73.0,-73.0,-66.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,4,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000004.jpg,0.7430155038759689,-88.0,-90.0,-90.0,-83.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,5,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000005.jpg,0.8505193798449613,-102.0,-105.0,-106.0,-99.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,6,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000006.jpg,0.9580232558139534,-122.0,-122.0,-123.0,-114.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,7,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000007.jpg,1.0655271317829458,-137.0,-139.0,-140.0,-131.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,8,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000008.jpg,1.173031007751938,-155.0,-155.0,-155.0,-148.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,9,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000009.jpg,1.2805348837209303,-170.4651162790697,-171.6046511627909,-172.06976744186062,-163.06976744186062,,估计同步待核验
XY_XY-0.1-02,XY,0.2,10,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000010.jpg,1.3880387596899224,-185.0,-187.0,-187.0,-178.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,11,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000011.jpg,1.4955426356589148,-204.0,-204.0,-204.0,-195.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,12,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000012.jpg,1.603046511627907,-218.0,-220.0,-220.0,-210.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,13,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000013.jpg,1.7105503875968993,-236.0,-237.0,-238.0,-228.0,,估计同步待核验
XY_XY-0.1-02,XY,0.2,14,XY/袁-20250529/XY-0.1-02/Test1/33061_1_16/Img000014.jpg,1.8180542635658914,-251.0,-251.0,-252.0,-241.0,,估计同步待核验
