试验编号,方向,速度_mm_s,照片帧号,照片文件,估计时间_s,Fx1力_N,Fx2力_N,Fy1力_N,Fy2力_N,事件标签,同步状态
XY_Xy-0.1-01,XY,0.2,0,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000000.jpg,0.202,-6.0,-11.0,-22.0,-16.0,加载起点,估计同步待核验
XY_Xy-0.1-01,XY,0.2,1,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000001.jpg,0.32734027777777774,-22.0,-28.0,-38.0,-32.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,2,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000002.jpg,0.45268055555555553,-39.0,-45.0,-55.0,-49.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,3,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000003.jpg,0.5780208333333333,-60.0,-64.0,-74.0,-69.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,4,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000004.jpg,0.7033611111111111,-76.0,-81.0,-91.0,-85.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,5,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000005.jpg,0.828701388888889,-94.10416666666713,-99.70138888888904,-110.40277777777808,-104.40277777777808,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,6,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000006.jpg,0.9540416666666667,-114.0,-118.0,-128.0,-122.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,7,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000007.jpg,1.0793819444444444,-131.0,-136.0,-146.0,-140.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,8,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000008.jpg,1.204722222222222,-147.0,-155.0,-165.0,-159.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,9,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000009.jpg,1.3300625,-164.0,-172.0,-183.0,-176.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,10,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000010.jpg,1.4554027777777778,-182.8055555555556,-190.8055555555556,-200.8055555555556,-193.8055555555556,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,11,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000011.jpg,1.5807430555555555,-201.0,-209.0,-219.0,-213.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,12,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000012.jpg,1.7060833333333332,-217.0,-227.0,-237.0,-229.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,13,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000013.jpg,1.831423611111111,-238.0,-245.0,-255.0,-248.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,14,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000014.jpg,1.9567638888888887,-254.0,-262.0,-273.0,-264.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,15,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000015.jpg,2.082104166666667,-270.89583333333303,-278.20833333333394,-290.20833333333394,-282.20833333333394,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,16,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000016.jpg,2.207444444444444,-288.0,-297.0,-309.0,-301.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,17,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000017.jpg,2.332784722222222,-305.0,-314.0,-326.0,-317.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,18,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000018.jpg,2.458125,-322.0,-333.0,-343.0,-336.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,19,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000019.jpg,2.5834652777777776,-338.0,-350.0,-360.0,-352.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,20,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000020.jpg,2.7088055555555557,-355.0,-367.0,-377.0,-368.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,21,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000021.jpg,2.8341458333333334,-375.0,-385.0,-395.0,-386.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,22,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000022.jpg,2.959486111111111,-391.0,-400.0,-412.0,-403.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,23,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000023.jpg,3.0848263888888887,-408.0,-420.0,-430.0,-422.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,24,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000024.jpg,3.2101666666666664,-425.0,-436.0,-446.0,-437.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,25,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000025.jpg,3.335506944444444,-441.0,-453.0138888888883,-464.0138888888883,-454.5069444444442,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,26,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000026.jpg,3.460847222222222,-458.0,-471.0,-480.0,-471.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,27,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000027.jpg,3.5861875,-474.0,-487.0,-497.0,-488.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,28,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000028.jpg,3.7115277777777775,-492.0,-504.0,-515.0,-505.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,29,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000029.jpg,3.8368680555555557,-508.0,-520.0,-531.0,-521.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,30,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000030.jpg,3.9622083333333333,-525.0,-537.2083333333331,-546.4166666666663,-536.2083333333331,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,31,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000031.jpg,4.087548611111111,-541.0,-554.0,-564.0,-553.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,32,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000032.jpg,4.212888888888888,-558.0,-570.0,-581.0,-570.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,33,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000033.jpg,4.338229166666666,-573.0,-588.0,-597.0,-586.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,34,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000034.jpg,4.4635694444444445,-589.0,-604.0,-613.0,-602.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,35,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000035.jpg,4.588909722222222,-604.0,-620.0,-628.0,-618.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,36,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000036.jpg,4.71425,-623.0,-637.0,-646.0,-635.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,37,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000037.jpg,4.839590277777777,-638.0,-652.0,-662.0,-651.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,38,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000038.jpg,4.964930555555555,-655.0,-669.0,-679.0,-668.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,39,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000039.jpg,5.090270833333332,-671.0,-685.0,-695.0,-683.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,40,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000040.jpg,5.215611111111111,-687.0,-700.0,-710.0,-698.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,41,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000041.jpg,5.340951388888889,-700.0,-717.0,-727.0,-714.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,42,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000042.jpg,5.466291666666667,-716.0,-732.0,-742.0,-730.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,43,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000043.jpg,5.591631944444444,-734.0,-749.0,-759.0,-747.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,44,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000044.jpg,5.716972222222222,-749.0,-764.0,-774.0,-762.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,45,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000045.jpg,5.8423125,-763.0,-780.0,-790.0,-777.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,46,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000046.jpg,5.9676527777777775,-780.0,-795.0,-806.0,-793.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,47,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000047.jpg,6.092993055555556,-795.0,-810.0,-821.0,-808.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,48,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000048.jpg,6.218333333333333,-808.0,-826.0,-837.0,-824.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,49,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000049.jpg,6.343673611111111,-823.0,-841.0,-852.0,-838.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,50,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000050.jpg,6.469013888888888,-838.0,-856.0,-866.0,-853.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,51,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000051.jpg,6.594354166666667,-854.0,-871.0,-883.0,-869.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,52,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000052.jpg,6.719694444444444,-868.0,-886.0,-897.0,-884.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,53,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000053.jpg,6.8450347222222225,-885.0,-900.0,-913.0,-899.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,54,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000054.jpg,6.970375,-899.0,-914.0,-927.0,-912.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,55,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000055.jpg,7.095715277777777,-912.0,-927.0,-941.0,-927.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,56,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000056.jpg,7.221055555555555,-925.0,-944.0,-957.0,-942.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,57,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000057.jpg,7.346395833333332,-940.0,-957.0,-970.0,-956.0,,估计同步待核验
XY_Xy-0.1-01,XY,0.2,58,XY/袁-20250529/Xy-0.1-01/Test1/33061_1_15/Img000058.jpg,7.471736111111111,-953.736111111111,-971.4722222222221,-984.736111111111,-970.736111111111,,估计同步待核验
