试验编号,方向,速度_mm_s,照片帧号,照片文件,估计时间_s,Fx1力_N,Fx2力_N,Fy1力_N,Fy2力_N,事件标签,同步状态
XY_Xy-04-1-01,XY,2.0,0,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000000.jpg,0.053,-18.0,-21.0,-15.0,-9.0,加载起点,估计同步待核验
XY_Xy-04-1-01,XY,2.0,1,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000001.jpg,0.07000375939849623,-27.0,-30.0,-25.0,-18.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,2,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000002.jpg,0.08700751879699248,-53.0,-57.0,-51.0,-43.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,3,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000003.jpg,0.10401127819548872,-64.0,-71.0,-65.0,-57.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,4,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000004.jpg,0.12101503759398496,-92.0,-100.0,-94.0,-85.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,5,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000005.jpg,0.13801879699248118,-109.0,-114.0,-109.0,-99.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,6,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000006.jpg,0.15502255639097742,-137.0,-144.0,-139.0,-127.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,7,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000007.jpg,0.17202631578947367,-152.0,-159.0,-154.0,-142.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,8,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000008.jpg,0.1890300751879699,-181.0,-189.0,-185.0,-172.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,9,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000009.jpg,0.20603383458646612,-195.57518796992431,-205.4736842105259,-199.5413533834582,-186.50751879699203,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,10,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000010.jpg,0.22303759398496237,-224.0,-236.0,-230.0,-215.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,11,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000011.jpg,0.2400413533834586,-254.0,-266.0,-260.0,-244.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,12,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000012.jpg,0.25704511278195485,-271.0,-281.0,-276.0,-259.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,13,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000013.jpg,0.2740488721804511,-300.0,-312.0,-306.0,-289.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,14,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000014.jpg,0.29105263157894734,-316.0,-327.0,-321.0,-303.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,15,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000015.jpg,0.3080563909774436,-346.0,-357.0,-352.0,-332.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,16,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000016.jpg,0.3250601503759398,-359.0,-373.0,-367.0,-347.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,17,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000017.jpg,0.34206390977443607,-389.0,-404.0,-397.0,-376.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,18,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000018.jpg,0.35906766917293226,-406.0,-418.0,-412.0,-390.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,19,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000019.jpg,0.3760714285714285,-434.0,-448.0,-442.0,-418.0,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,20,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000020.jpg,0.39307518796992474,-450.0526315789462,-464.20300751879563,-458.12781954887095,-434.0526315789462,,估计同步待核验
XY_Xy-04-1-01,XY,2.0,21,XY/袁-20250529/Xy-04-1-01/Test1/33061_1_18/Img000021.jpg,0.410078947368421,-479.0,-493.0,-487.0,-462.0,,估计同步待核验
