试验编号,方向,速度_mm_s,照片帧号,照片文件,估计时间_s,Fx1力_N,Fx2力_N,Fy1力_N,Fy2力_N,事件标签,同步状态
XY_Y-09-0.1-02,Y,0.2,0,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000000.jpg,0.525,-8.0,-8.0,-31.0,-30.0,加载起点,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,1,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000001.jpg,0.6231310307017544,-8.0,-8.0,-42.131030701754355,-41.131030701754355,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,2,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000002.jpg,0.7212620614035088,-7.0,-9.0,-53.0,-52.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,3,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000003.jpg,0.8193930921052631,-7.0,-8.0,-65.0,-63.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,4,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000004.jpg,0.9175241228070175,-7.0,-8.0,-76.0,-75.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,5,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000005.jpg,1.015655153508772,-7.0,-9.0,-88.0,-87.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,6,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000006.jpg,1.113786184210526,-7.0,-8.0,-99.0,-99.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,7,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000007.jpg,1.2119172149122805,-7.0,-8.0,-111.0,-110.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,8,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000008.jpg,1.310048245614035,-7.0,-8.0,-122.0,-121.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,9,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000009.jpg,1.4081792763157894,-7.0,-8.0,-133.0,-133.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,10,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000010.jpg,1.5063103070175439,-8.0,-8.0,-146.0,-145.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,11,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000011.jpg,1.6044413377192983,-8.0,-9.0,-157.0,-156.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,12,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000012.jpg,1.7025723684210523,-9.0,-8.0,-168.0,-168.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,13,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000013.jpg,1.8007033991228067,-8.40679824561356,-8.0,-178.7033991228068,-178.7033991228068,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,14,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000014.jpg,1.8988344298245612,-7.0,-8.0,-190.0,-190.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,15,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000015.jpg,1.9969654605263156,-7.0,-8.0,-201.0,-200.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,16,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000016.jpg,2.09509649122807,-7.0,-8.0,-212.0,-211.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,17,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000017.jpg,2.1932275219298245,-7.0,-8.0,-223.0,-223.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,18,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000018.jpg,2.291358552631579,-8.0,-8.0,-235.0,-235.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,19,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000019.jpg,2.389489583333333,-8.0,-8.0,-246.0,-246.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,20,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000020.jpg,2.4876206140350874,-8.0,-8.0,-258.0,-257.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,21,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000021.jpg,2.585751644736842,-9.0,-8.0,-268.0,-268.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,22,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000022.jpg,2.6838826754385963,-9.0,-8.0,-281.0,-280.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,23,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000023.jpg,2.7820137061403503,-9.0,-8.0,-292.0,-292.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,24,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000024.jpg,2.8801447368421047,-9.0,-8.0,-302.0,-302.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,25,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000025.jpg,2.978275767543859,-9.0,-8.0,-313.0,-313.0,,估计同步待核验
XY_Y-09-0.1-02,Y,0.2,26,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img000026.jpg,3.0764067982456136,-7.813596491227121,-8.59320175438644,-322.81359649122714,-322.4067982456136,,估计同步待核验
