试验编号,方向,速度_mm_s,照片帧号,照片文件,估计时间_s,Fx1力_N,Fx2力_N,Fy1力_N,Fy2力_N,事件标签,同步状态
XY_Y-10-1-01,Y,2.0,0,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000000.jpg,0.095,-7.0,-8.0,-31.0,-29.0,加载起点,估计同步待核验
XY_Y-10-1-01,Y,2.0,1,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000001.jpg,0.10479576107899807,-7.0,-8.0,-31.0,-29.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,2,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000002.jpg,0.11459152215799615,-9.0,-7.0,-42.0,-40.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,3,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000003.jpg,0.12438728323699422,-8.0,-7.0,-53.0,-51.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,4,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000004.jpg,0.1341830443159923,-9.0,-7.0,-64.0,-62.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,5,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000005.jpg,0.14397880539499036,-8.0,-7.0,-75.0,-74.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,6,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000006.jpg,0.15377456647398843,-8.0,-8.0,-86.0,-84.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,7,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000007.jpg,0.1635703275529865,-9.0,-7.0,-97.0,-96.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,8,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000008.jpg,0.17336608863198458,-7.0,-8.0,-108.0,-107.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,9,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000009.jpg,0.18316184971098265,-10.0,-7.0,-120.0,-119.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,10,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000010.jpg,0.19295761078998072,-10.0,-7.0,-120.0,-119.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,11,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000011.jpg,0.2027533718689788,-7.0,-8.0,-130.0,-130.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,12,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000012.jpg,0.21254913294797687,-9.0,-7.0,-142.0,-142.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,13,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000013.jpg,0.22234489402697497,-7.0,-8.0,-154.0,-153.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,14,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000014.jpg,0.232140655105973,-8.0,-8.0,-165.0,-165.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,15,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000015.jpg,0.24193641618497108,-8.0,-8.0,-178.0,-176.0,,估计同步待核验
XY_Y-10-1-01,Y,2.0,16,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000016.jpg,0.2517321772639691,-8.0,-8.0,-189.0,-188.0,,估计同步待核验
