试样编号,照片帧号,估计时间_s,Fx1力_N,Fx2力_N,Fx平均力_N,Fy1力_N,Fy2力_N,Fy平均力_N,加载类型,事件标签,同步状态
XY_X-05-0.1-01,0,0.727,39.0,38.0,38.5,5.0,3.0,4.0,拉伸,加载起点,估计同步待核验
XY_X-05-0.1-01,1,0.812530487804878,46.0,45.0,45.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,2,0.8980609756097561,56.0,55.0,55.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,3,0.9835914634146341,64.0,64.0,64.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,4,1.069121951219512,75.0,73.0,74.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,5,1.1546524390243902,83.0,82.0,82.5,5.0,3.0,4.0,拉伸,,估计同步待核验
XY_X-05-0.1-01,6,1.2401829268292683,91.0,90.0,90.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,7,1.3257134146341465,99.0,100.0,99.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,8,1.4112439024390242,111.0,109.0,110.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,9,1.4967743902439024,117.22560975609773,118.54878048780454,117.88719512195112,4.225609756097731,3.0,3.6128048780488653,拉伸,,估计同步待核验
XY_X-05-0.1-01,10,1.5823048780487805,126.0,126.0,126.0,4.0,4.0,4.0,拉伸,,估计同步待核验
XY_X-05-0.1-01,11,1.6678353658536587,135.0,136.0,135.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,12,1.7533658536585364,146.0,145.0,145.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,13,1.8388963414634145,152.0,154.0,153.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,14,1.9244268292682927,161.0,162.0,161.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,15,2.009957317073171,171.0,171.0,171.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,16,2.0954878048780485,180.0,179.0,179.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,17,2.1810182926829267,187.0,188.0,187.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,18,2.266548780487805,196.64634146341464,196.5487804878049,196.59756097560978,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,19,2.352079268292683,206.0,205.0,205.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,20,2.4376097560975607,214.0,214.0,214.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,21,2.523140243902439,223.0,223.0,223.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,22,2.608670731707317,233.0,232.0,232.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,23,2.694201219512195,240.0,239.0,239.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,24,2.779731707317073,248.0,248.0,248.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,25,2.865262195121951,257.0,257.0,257.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,26,2.950792682926829,267.0,266.0,266.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,27,3.0363231707317073,274.6768292682927,274.3231707317073,274.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,28,3.1218536585365855,281.0,282.0,281.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,29,3.207384146341463,290.0,291.0,290.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,30,3.2929146341463413,301.0,300.0,300.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,31,3.378445121951219,307.0,308.0,307.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,32,3.463975609756097,315.0,316.0,315.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,33,3.5495060975609753,326.0,325.0,325.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,34,3.635036585365853,334.0,334.0,334.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,35,3.720567073170731,341.0,342.0,341.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,36,3.8060975609756094,348.3902439024373,350.0975609756093,349.2439024390233,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,37,3.8916280487804875,359.0,358.0,358.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,38,3.9771585365853657,367.0,368.0,367.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,39,4.062689024390243,375.0,376.0,375.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,40,4.148219512195122,386.0,385.0,385.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,41,4.23375,393.0,392.0,392.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,42,4.319280487804878,400.0,401.0,400.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,43,4.404810975609756,410.0,410.0,410.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,44,4.490341463414635,419.0,418.0,418.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,45,4.575871951219512,426.0,425.0,425.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,46,4.661402439024391,434.0,435.0,434.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,47,4.746932926829268,443.0,443.0,443.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,48,4.832463414634146,452.0,452.0,452.0,4.0,4.0,4.0,拉伸,,估计同步待核验
XY_X-05-0.1-01,49,4.917993902439024,459.0060975609761,459.9939024390239,459.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,50,5.003524390243903,466.0,468.0,467.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,51,5.08905487804878,477.0,476.0,476.5,5.0,3.0,4.0,拉伸,,估计同步待核验
XY_X-05-0.1-01,52,5.174585365853659,484.0,485.0,484.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,53,5.260115853658537,492.0,493.0,492.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,54,5.345646341463415,500.0,502.0,501.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,55,5.431176829268293,510.0,509.0,509.5,4.0,4.0,4.0,拉伸,,估计同步待核验
XY_X-05-0.1-01,56,5.5167073170731715,518.0,518.0,518.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,57,5.602237804878048,526.0,527.0,526.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,58,5.687768292682927,535.3048780487812,534.768292682927,535.0365853658541,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,59,5.773298780487805,544.0,542.0,543.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,60,5.858829268292683,549.0,551.0,550.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,61,5.944359756097561,559.0,559.0,559.0,5.0,3.0,4.0,拉伸,,估计同步待核验
XY_X-05-0.1-01,62,6.029890243902439,568.0,568.0,568.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,63,6.115420731707317,576.0,575.0,575.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,64,6.200951219512195,581.0,583.0,582.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,65,6.286481707317074,591.0,591.0,591.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,66,6.372012195121951,599.0,600.0,599.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,67,6.457542682926829,606.457317073171,607.0853658536579,606.7713414634145,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,68,6.543073170731707,613.0,615.0,614.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,69,6.628603658536585,624.0,623.0,623.5,5.0,3.0,4.0,拉伸,,估计同步待核验
XY_X-05-0.1-01,70,6.714134146341463,630.0,631.0,630.5,4.0,2.0,3.0,拉伸,,估计同步待核验
XY_X-05-0.1-01,71,6.799664634146342,638.0,639.0,638.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,72,6.885195121951219,645.0,646.0,645.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-05-0.1-01,73,6.970725609756098,655.0,654.0,654.5,4.0,3.0,3.5,拉伸,,估计同步待核验
