试样编号,照片帧号,估计时间_s,Fx1力_N,Fx2力_N,Fx平均力_N,Fy1力_N,Fy2力_N,Fy平均力_N,加载类型,事件标签,同步状态
XY_X-07-10-01,0,0.05,82.0,89.0,85.5,4.0,3.0,3.5,拉伸,加载起点,估计同步待核验
XY_X-07-10-01,1,0.054387500000000005,82.0,89.0,85.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,2,0.05877500000000001,82.0,89.0,85.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,3,0.06316250000000001,150.0,160.0,155.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,4,0.06755,150.0,160.0,155.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,5,0.0719375,229.68750000000057,247.18750000000063,238.4375000000006,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,6,0.076325,235.0,253.0,244.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,7,0.0807125,235.0,253.0,244.0,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,8,0.08510000000000001,333.0,344.0,338.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,9,0.0894875,333.0,344.0,338.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,10,0.09387500000000001,413.50000000000125,428.00000000000136,420.7500000000013,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,11,0.0982625,425.0,440.0,432.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,12,0.10265,425.0,440.0,432.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,13,0.10703750000000001,520.0,533.0,526.5,4.0,3.0,3.5,拉伸,,估计同步待核验
XY_X-07-10-01,14,0.111425,520.0,533.0,526.5,4.0,3.0,3.5,拉伸,,估计同步待核验
