试样编号,照片帧号,估计时间_s,Fx1力_N,Fx2力_N,Fx平均力_N,Fy1力_N,Fy2力_N,Fy平均力_N,加载类型,事件标签,同步状态
XY_XY-0.1-02,0,0.313,24.0,23.0,23.5,24.0,18.0,21.0,拉伸,加载起点,估计同步待核验
XY_XY-0.1-02,1,0.42050387596899225,39.0,37.0,38.0,40.0,33.0,36.5,拉伸,,估计同步待核验
XY_XY-0.1-02,2,0.5280077519379844,54.0,56.0,55.0,56.0,49.0,52.5,拉伸,,估计同步待核验
XY_XY-0.1-02,3,0.6355116279069768,73.0,73.0,73.0,73.0,66.0,69.5,拉伸,,估计同步待核验
XY_XY-0.1-02,4,0.7430155038759689,88.0,90.0,89.0,90.0,83.0,86.5,拉伸,,估计同步待核验
XY_XY-0.1-02,5,0.8505193798449613,102.0,105.0,103.5,106.0,99.0,102.5,拉伸,,估计同步待核验
XY_XY-0.1-02,6,0.9580232558139534,122.0,122.0,122.0,123.0,114.0,118.5,拉伸,,估计同步待核验
XY_XY-0.1-02,7,1.0655271317829458,137.0,139.0,138.0,140.0,131.0,135.5,拉伸,,估计同步待核验
XY_XY-0.1-02,8,1.173031007751938,155.0,155.0,155.0,155.0,148.0,151.5,拉伸,,估计同步待核验
XY_XY-0.1-02,9,1.2805348837209303,170.4651162790697,171.6046511627909,171.03488372093028,172.06976744186062,163.06976744186062,167.56976744186062,拉伸,,估计同步待核验
XY_XY-0.1-02,10,1.3880387596899224,185.0,187.0,186.0,187.0,178.0,182.5,拉伸,,估计同步待核验
XY_XY-0.1-02,11,1.4955426356589148,204.0,204.0,204.0,204.0,195.0,199.5,拉伸,,估计同步待核验
XY_XY-0.1-02,12,1.603046511627907,218.0,220.0,219.0,220.0,210.0,215.0,拉伸,,估计同步待核验
XY_XY-0.1-02,13,1.7105503875968993,236.0,237.0,236.5,238.0,228.0,233.0,拉伸,,估计同步待核验
XY_XY-0.1-02,14,1.8180542635658914,251.0,251.0,251.0,252.0,241.0,246.5,拉伸,,估计同步待核验
XY_XY-0.1-02,15,1.9255581395348838,266.0,268.0,267.0,267.0,257.0,262.0,拉伸,,估计同步待核验
XY_XY-0.1-02,16,2.033062015503876,284.0,284.0,284.0,283.0,272.0,277.5,拉伸,,估计同步待核验
XY_XY-0.1-02,17,2.1405658914728685,299.0,301.0,300.0,300.0,289.0,294.5,拉伸,,估计同步待核验
XY_XY-0.1-02,18,2.2480697674418604,313.27906976744066,315.06976744186017,314.17441860465044,314.13953488372033,302.06976744186017,308.1046511627902,拉伸,,估计同步待核验
