试样编号,照片帧号,估计时间_s,Fx1力_N,Fx2力_N,Fx平均力_N,Fy1力_N,Fy2力_N,Fy平均力_N,加载类型,事件标签,同步状态
XY_Xy-0.1-01,0,0.202,6.0,11.0,8.5,22.0,16.0,19.0,拉伸,加载起点,估计同步待核验
XY_Xy-0.1-01,1,0.32734027777777774,22.0,28.0,25.0,38.0,32.0,35.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,2,0.45268055555555553,39.0,45.0,42.0,55.0,49.0,52.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,3,0.5780208333333333,60.0,64.0,62.0,74.0,69.0,71.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,4,0.7033611111111111,76.0,81.0,78.5,91.0,85.0,88.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,5,0.828701388888889,94.10416666666713,99.70138888888904,96.90277777777808,110.40277777777808,104.40277777777808,107.40277777777808,拉伸,,估计同步待核验
XY_Xy-0.1-01,6,0.9540416666666667,114.0,118.0,116.0,128.0,122.0,125.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,7,1.0793819444444444,131.0,136.0,133.5,146.0,140.0,143.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,8,1.204722222222222,147.0,155.0,151.0,165.0,159.0,162.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,9,1.3300625,164.0,172.0,168.0,183.0,176.0,179.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,10,1.4554027777777778,182.8055555555556,190.8055555555556,186.8055555555556,200.8055555555556,193.8055555555556,197.3055555555556,拉伸,,估计同步待核验
XY_Xy-0.1-01,11,1.5807430555555555,201.0,209.0,205.0,219.0,213.0,216.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,12,1.7060833333333332,217.0,227.0,222.0,237.0,229.0,233.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,13,1.831423611111111,238.0,245.0,241.5,255.0,248.0,251.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,14,1.9567638888888887,254.0,262.0,258.0,273.0,264.0,268.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,15,2.082104166666667,270.89583333333303,278.20833333333394,274.5520833333335,290.20833333333394,282.20833333333394,286.20833333333394,拉伸,,估计同步待核验
XY_Xy-0.1-01,16,2.207444444444444,288.0,297.0,292.5,309.0,301.0,305.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,17,2.332784722222222,305.0,314.0,309.5,326.0,317.0,321.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,18,2.458125,322.0,333.0,327.5,343.0,336.0,339.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,19,2.5834652777777776,338.0,350.0,344.0,360.0,352.0,356.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,20,2.7088055555555557,355.0,367.0,361.0,377.0,368.0,372.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,21,2.8341458333333334,375.0,385.0,380.0,395.0,386.0,390.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,22,2.959486111111111,391.0,400.0,395.5,412.0,403.0,407.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,23,3.0848263888888887,408.0,420.0,414.0,430.0,422.0,426.0,拉伸,,估计同步待核验
XY_Xy-0.1-01,24,3.2101666666666664,425.0,436.0,430.5,446.0,437.0,441.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,25,3.335506944444444,441.0,453.0138888888883,447.0069444444441,464.0138888888883,454.5069444444442,459.26041666666623,拉伸,,估计同步待核验
XY_Xy-0.1-01,26,3.460847222222222,458.0,471.0,464.5,480.0,471.0,475.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,27,3.5861875,474.0,487.0,480.5,497.0,488.0,492.5,拉伸,,估计同步待核验
XY_Xy-0.1-01,28,3.7115277777777775,492.0,504.0,498.0,515.0,505.0,510.0,拉伸,,估计同步待核验
