试样编号,照片帧号,估计时间_s,Fx1力_N,Fx2力_N,Fx平均力_N,Fy1力_N,Fy2力_N,Fy平均力_N,加载类型,事件标签,同步状态
XY_Xy-04-1-01,0,0.053,18.0,21.0,19.5,15.0,9.0,12.0,拉伸,加载起点,估计同步待核验
XY_Xy-04-1-01,1,0.07000375939849623,27.0,30.0,28.5,25.0,18.0,21.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,2,0.08700751879699248,53.0,57.0,55.0,51.0,43.0,47.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,3,0.10401127819548872,64.0,71.0,67.5,65.0,57.0,61.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,4,0.12101503759398496,92.0,100.0,96.0,94.0,85.0,89.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,5,0.13801879699248118,109.0,114.0,111.5,109.0,99.0,104.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,6,0.15502255639097742,137.0,144.0,140.5,139.0,127.0,133.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,7,0.17202631578947367,152.0,159.0,155.5,154.0,142.0,148.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,8,0.1890300751879699,181.0,189.0,185.0,185.0,172.0,178.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,9,0.20603383458646612,195.57518796992431,205.4736842105259,200.5244360902251,199.5413533834582,186.50751879699203,193.0244360902251,拉伸,,估计同步待核验
XY_Xy-04-1-01,10,0.22303759398496237,224.0,236.0,230.0,230.0,215.0,222.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,11,0.2400413533834586,254.0,266.0,260.0,260.0,244.0,252.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,12,0.25704511278195485,271.0,281.0,276.0,276.0,259.0,267.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,13,0.2740488721804511,300.0,312.0,306.0,306.0,289.0,297.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,14,0.29105263157894734,316.0,327.0,321.5,321.0,303.0,312.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,15,0.3080563909774436,346.0,357.0,351.5,352.0,332.0,342.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,16,0.3250601503759398,359.0,373.0,366.0,367.0,347.0,357.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,17,0.34206390977443607,389.0,404.0,396.5,397.0,376.0,386.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,18,0.35906766917293226,406.0,418.0,412.0,412.0,390.0,401.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,19,0.3760714285714285,434.0,448.0,441.0,442.0,418.0,430.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,20,0.39307518796992474,450.0526315789462,464.20300751879563,457.1278195488709,458.12781954887095,434.0526315789462,446.0902255639086,拉伸,,估计同步待核验
XY_Xy-04-1-01,21,0.410078947368421,479.0,493.0,486.0,487.0,462.0,474.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,22,0.42708270676691723,508.0,523.0,515.5,517.0,491.0,504.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,23,0.4440864661654135,521.0,539.0,530.0,531.0,504.0,517.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,24,0.4610902255639097,550.0,568.0,559.0,561.0,533.0,547.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,25,0.47809398496240596,566.0,583.0,574.5,576.0,547.0,561.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,26,0.4950977443609022,594.0,613.0,603.5,605.0,576.0,590.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,27,0.5121015037593984,609.0,628.0,618.5,620.0,590.0,605.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,28,0.5291052631578947,639.0,656.0,647.5,649.0,617.0,633.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,29,0.5461090225563909,650.0,672.0,661.0,662.0,631.0,646.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,30,0.5631127819548872,678.0,700.0,689.0,691.0,659.0,675.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,31,0.5801165413533834,696.3984962406015,714.7481203007519,705.5733082706768,707.515037593985,674.6315789473684,691.0733082706768,拉伸,,估计同步待核验
XY_Xy-04-1-01,32,0.5971203007518797,722.0,742.0,732.0,734.0,701.0,717.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,33,0.6141240601503759,749.0,771.0,760.0,762.0,727.0,744.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,34,0.6311278195488722,763.0,783.0,773.0,775.0,740.0,757.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,35,0.6481315789473684,790.0,811.0,800.5,803.0,767.0,785.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,36,0.6651353383458646,800.0,824.0,812.0,815.0,780.0,797.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,37,0.6821390977443609,827.0,850.0,838.5,843.0,807.0,825.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,38,0.6991428571428571,842.0,863.0,852.5,857.0,820.0,838.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,39,0.7161466165413534,867.0,889.0,878.0,883.0,847.0,865.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,40,0.7331503759398496,879.0,902.0,890.5,896.0,860.0,878.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,41,0.7501541353383459,904.0,926.0,915.0,922.0,886.0,904.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,42,0.767157894736842,916.3684210526303,940.7368421052622,928.5526315789463,936.0526315789463,900.0526315789463,918.0526315789463,拉伸,,估计同步待核验
XY_Xy-04-1-01,43,0.7841616541353383,939.0,963.0,951.0,959.0,923.0,941.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,44,0.8011654135338345,962.0,987.0,974.5,984.0,949.0,966.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,45,0.8181691729323308,975.0,999.0,987.0,997.0,962.0,979.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,46,0.835172932330827,998.0,1023.0,1010.5,1022.0,986.0,1004.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,47,0.8521766917293233,1011.0,1035.0,1023.0,1034.0,997.0,1015.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,48,0.8691804511278195,1035.0,1059.0,1047.0,1058.0,1021.0,1039.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,49,0.8861842105263157,1045.0,1071.0,1058.0,1070.0,1033.0,1051.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,50,0.903187969924812,1068.0,1094.0,1081.0,1094.0,1056.0,1075.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,51,0.9201917293233082,1081.0,1105.0,1093.0,1106.0,1067.0,1086.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,52,0.9371954887218045,1103.0,1128.0,1115.5,1129.0,1089.0,1109.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,53,0.9541992481203007,1116.992481203007,1141.5902255639091,1129.291353383458,1141.992481203007,1102.1917293233078,1122.0921052631575,拉伸,,估计同步待核验
XY_Xy-04-1-01,54,0.971203007518797,1137.0,1161.0,1149.0,1162.0,1122.0,1142.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,55,0.9882067669172931,1158.0,1182.0,1170.0,1184.0,1143.0,1163.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,56,1.0052105263157893,1166.0,1193.0,1179.5,1194.0,1153.0,1173.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,57,1.0222142857142855,1188.0,1213.0,1200.5,1214.0,1173.0,1193.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,58,1.039218045112782,1198.0,1223.0,1210.5,1225.0,1183.0,1204.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,59,1.0562218045112781,1217.0,1243.0,1230.0,1245.0,1202.0,1223.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,60,1.0732255639097743,1228.0,1252.0,1240.0,1255.0,1211.0,1233.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,61,1.0902293233082705,1248.0,1271.0,1259.5,1274.0,1230.0,1252.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,62,1.1072330827067667,1254.0,1280.0,1267.0,1283.0,1239.0,1261.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,63,1.1242368421052629,1272.0,1298.0,1285.0,1301.0,1256.0,1278.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,64,1.1412406015037593,1284.9248120300742,1308.1654135338335,1296.5451127819538,1312.1654135338335,1265.9248120300742,1289.0451127819538,拉伸,,估计同步待核验
XY_Xy-04-1-01,65,1.1582443609022555,1299.0,1323.0,1311.0,1327.0,1280.0,1303.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,66,1.1752481203007517,1314.0,1340.0,1327.0,1343.0,1296.0,1319.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,67,1.192251879699248,1324.0,1346.0,1335.0,1351.0,1303.0,1327.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,68,1.2092556390977443,1338.0,1361.0,1349.5,1366.0,1317.0,1341.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,69,1.2262593984962404,1343.0,1368.0,1355.5,1372.0,1324.0,1348.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,70,1.2432631578947366,1357.0,1381.0,1369.0,1386.0,1337.0,1361.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,71,1.260266917293233,1364.0,1388.0,1376.0,1393.0,1343.0,1368.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,72,1.277270676691729,1375.0,1400.0,1387.5,1405.0,1355.0,1380.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,73,1.2942744360902254,1382.0,1405.0,1393.5,1411.0,1361.0,1386.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,74,1.3112781954887216,1393.0,1416.0,1404.5,1422.0,1371.0,1396.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,75,1.328281954887218,1397.2556390977438,1422.127819548872,1409.6917293233078,1428.40977443609,1377.40977443609,1402.90977443609,拉伸,,估计同步待核验
XY_Xy-04-1-01,76,1.345285714285714,1404.0,1429.0,1416.5,1437.0,1385.0,1411.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,77,1.3622894736842104,1413.0,1437.0,1425.0,1445.0,1394.0,1419.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,78,1.3792932330827066,1417.0,1441.0,1429.0,1449.0,1397.0,1423.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,79,1.396296992481203,1423.0,1448.0,1435.5,1456.0,1404.0,1430.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,80,1.413300751879699,1428.0,1450.0,1439.0,1459.0,1407.0,1433.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,81,1.4303045112781954,1434.0,1456.0,1445.0,1465.0,1411.0,1438.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,82,1.4473082706766915,1434.0,1458.0,1446.0,1467.0,1413.0,1440.0,拉伸,,估计同步待核验
XY_Xy-04-1-01,83,1.464312030075188,1438.0,1462.0,1450.0,1471.0,1418.0,1444.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,84,1.481315789473684,1441.0,1464.0,1452.5,1473.0,1420.0,1446.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,85,1.4983195488721803,1444.0,1468.0,1456.0,1476.0,1423.0,1449.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,86,1.5153233082706765,1446.6766917293235,1469.646616541353,1458.1616541353383,1478.3233082706765,1424.3233082706765,1451.3233082706765,拉伸,,估计同步待核验
XY_Xy-04-1-01,87,1.5323270676691727,1449.0,1471.0,1460.0,1480.0,1427.0,1453.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,88,1.549330827067669,1452.0,1473.0,1462.5,1482.0,1429.0,1455.5,拉伸,,估计同步待核验
XY_Xy-04-1-01,89,1.5663345864661653,1451.0,1475.0,1463.0,1483.0,1430.0,1456.5,拉伸,,估计同步待核验
