试样编号,照片帧号,估计时间_s,Fx1力_N,Fx2力_N,Fx平均力_N,Fy1力_N,Fy2力_N,Fy平均力_N,加载类型,事件标签,同步状态
XY_Y-09-0.1-02,0,0.525,8.0,8.0,8.0,31.0,30.0,30.5,拉伸,加载起点,估计同步待核验
XY_Y-09-0.1-02,1,0.6231310307017544,8.0,8.0,8.0,42.131030701754355,41.131030701754355,41.631030701754355,拉伸,,估计同步待核验
XY_Y-09-0.1-02,2,0.7212620614035088,7.0,9.0,8.0,53.0,52.0,52.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,3,0.8193930921052631,7.0,8.0,7.5,65.0,63.0,64.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,4,0.9175241228070175,7.0,8.0,7.5,76.0,75.0,75.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,5,1.015655153508772,7.0,9.0,8.0,88.0,87.0,87.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,6,1.113786184210526,7.0,8.0,7.5,99.0,99.0,99.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,7,1.2119172149122805,7.0,8.0,7.5,111.0,110.0,110.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,8,1.310048245614035,7.0,8.0,7.5,122.0,121.0,121.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,9,1.4081792763157894,7.0,8.0,7.5,133.0,133.0,133.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,10,1.5063103070175439,8.0,8.0,8.0,146.0,145.0,145.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,11,1.6044413377192983,8.0,9.0,8.5,157.0,156.0,156.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,12,1.7025723684210523,9.0,8.0,8.5,168.0,168.0,168.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,13,1.8007033991228067,8.40679824561356,8.0,8.203399122806779,178.7033991228068,178.7033991228068,178.7033991228068,拉伸,,估计同步待核验
XY_Y-09-0.1-02,14,1.8988344298245612,7.0,8.0,7.5,190.0,190.0,190.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,15,1.9969654605263156,7.0,8.0,7.5,201.0,200.0,200.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,16,2.09509649122807,7.0,8.0,7.5,212.0,211.0,211.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,17,2.1932275219298245,7.0,8.0,7.5,223.0,223.0,223.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,18,2.291358552631579,8.0,8.0,8.0,235.0,235.0,235.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,19,2.389489583333333,8.0,8.0,8.0,246.0,246.0,246.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,20,2.4876206140350874,8.0,8.0,8.0,258.0,257.0,257.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,21,2.585751644736842,9.0,8.0,8.5,268.0,268.0,268.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,22,2.6838826754385963,9.0,8.0,8.5,281.0,280.0,280.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,23,2.7820137061403503,9.0,8.0,8.5,292.0,292.0,292.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,24,2.8801447368421047,9.0,8.0,8.5,302.0,302.0,302.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,25,2.978275767543859,9.0,8.0,8.5,313.0,313.0,313.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,26,3.0764067982456136,7.813596491227121,8.59320175438644,8.20339912280678,322.81359649122714,322.4067982456136,322.61019736842036,拉伸,,估计同步待核验
XY_Y-09-0.1-02,27,3.174537828947368,7.0,9.0,8.0,333.0,333.0,333.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,28,3.2726688596491225,8.0,8.0,8.0,345.0,344.0,344.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,29,3.370799890350877,8.0,8.0,8.0,356.0,356.0,356.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,30,3.468930921052631,8.0,8.0,8.0,365.0,365.0,365.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,31,3.567061951754386,9.0,8.0,8.5,377.0,376.0,376.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,32,3.66519298245614,10.0,8.0,9.0,387.0,387.0,387.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,33,3.7633240131578947,9.0,8.0,8.5,398.0,398.0,398.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,34,3.8614550438596487,10.0,8.0,9.0,409.0,409.0,409.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,35,3.959586074561403,10.0,8.0,9.0,419.0,419.0,419.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,36,4.0577171052631575,10.0,8.0,9.0,430.0,430.0,430.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,37,4.155848135964912,9.0,8.0,8.5,440.0,440.0,440.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,38,4.253979166666666,8.979166666666853,8.0,8.489583333333426,450.97916666666686,450.97916666666686,450.97916666666686,拉伸,,估计同步待核验
XY_Y-09-0.1-02,39,4.352110197368421,8.11019736842061,8.0,8.055098684210305,460.1101973684206,460.1101973684206,460.1101973684206,拉伸,,估计同步待核验
XY_Y-09-0.1-02,40,4.450241228070175,9.0,8.0,8.5,471.0,471.0,471.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,41,4.54837225877193,9.0,8.0,8.5,481.0,481.0,481.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,42,4.646503289473684,10.0,8.0,9.0,491.0,490.0,490.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,43,4.744634320175439,10.0,8.0,9.0,501.0,501.0,501.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,44,4.842765350877193,9.0,8.0,8.5,512.0,511.0,511.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,45,4.9408963815789475,10.0,8.0,9.0,522.0,521.0,521.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,46,5.039027412280701,9.0,8.0,8.5,532.0,532.0,532.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,47,5.137158442982456,9.0,8.0,8.5,542.0,542.0,542.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,48,5.23528947368421,8.0,8.0,8.0,552.0,552.0,552.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,49,5.333420504385965,9.0,8.0,8.5,562.0,562.0,562.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,50,5.431551535087719,8.0,8.0,8.0,571.0,571.0,571.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,51,5.529682565789473,8.317434210526883,8.0,8.158717105263442,581.6825657894731,581.3651315789463,581.5238486842097,拉伸,,估计同步待核验
XY_Y-09-0.1-02,52,5.627813596491228,9.0,8.0,8.5,591.0,591.0,591.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,53,5.725944627192982,10.0,8.0,9.0,601.0,601.0,601.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,54,5.824075657894737,10.0,8.0,9.0,610.0,610.0,610.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,55,5.922206688596491,9.0,8.0,8.5,620.0,620.0,620.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,56,6.0203377192982455,9.0,8.0,8.5,630.0,630.0,630.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,57,6.11846875,9.0,8.0,8.5,639.0,640.0,639.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,58,6.216599780701754,9.0,8.0,8.5,649.0,650.0,649.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,59,6.31473081140351,8.0,8.0,8.0,658.0,659.0,658.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,60,6.412861842105262,8.0,8.0,8.0,668.0,669.0,668.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,61,6.510992872807018,7.0,8.0,7.5,679.0,679.0,679.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,62,6.609123903508772,7.0,8.0,7.5,687.0,688.0,687.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,63,6.7072549342105265,7.0,8.0,7.5,697.0,698.0,697.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,64,6.80538596491228,8.2280701754395,8.0,8.11403508771975,706.3859649122802,707.3859649122802,706.8859649122802,拉伸,,估计同步待核验
XY_Y-09-0.1-02,65,6.9035169956140345,9.0,8.0,8.5,715.0,717.0,716.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,66,7.00164802631579,9.0,8.0,8.5,725.0,725.0,725.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,67,7.099779057017544,9.0,8.0,8.5,734.0,734.0,734.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,68,7.197910087719298,9.0,8.0,8.5,744.0,744.0,744.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,69,7.296041118421052,8.0,8.0,8.0,753.0,753.0,753.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,70,7.394172149122807,7.0,8.0,7.5,763.0,763.0,763.0,拉伸,,估计同步待核验
XY_Y-09-0.1-02,71,7.492303179824562,7.0,8.0,7.5,771.0,772.0,771.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,72,7.590434210526316,7.0,8.0,7.5,781.0,782.0,781.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,73,7.68856524122807,7.0,8.0,7.5,791.0,792.0,791.5,拉伸,,估计同步待核验
XY_Y-09-0.1-02,74,7.7866962719298245,7.0,9.0,8.0,800.0,801.0,800.5,拉伸,,估计同步待核验
