试样编号,照片帧号,估计时间_s,Fx1力_N,Fx2力_N,Fx平均力_N,Fy1力_N,Fy2力_N,Fy平均力_N,加载类型,事件标签,同步状态
XY_Y-11-10-01,0,0.0,9.0,8.0,8.5,1559.0,1552.0,1555.5,拉伸,力峰值,预载起点待核验
XY_Y-11-10-01,1,0.0026619718309859155,7.0,8.0,7.5,1554.0,1547.0,1550.5,拉伸,,预载起点待核验
XY_Y-11-10-01,2,0.005323943661971831,7.0,8.0,7.5,1554.0,1547.0,1550.5,拉伸,,预载起点待核验
XY_Y-11-10-01,3,0.007985915492957745,7.0,8.0,7.5,1554.0,1547.0,1550.5,拉伸,,预载起点待核验
XY_Y-11-10-01,4,0.010647887323943662,7.0,8.0,7.5,1554.0,1547.0,1550.5,拉伸,,预载起点待核验
XY_Y-11-10-01,5,0.013309859154929576,9.0,8.0,8.5,1550.0,1543.0,1546.5,拉伸,,预载起点待核验
XY_Y-11-10-01,6,0.01597183098591549,9.0,8.0,8.5,1550.0,1543.0,1546.5,拉伸,,预载起点待核验
XY_Y-11-10-01,7,0.01863380281690141,9.0,8.0,8.5,1550.0,1543.0,1546.5,拉伸,,预载起点待核验
XY_Y-11-10-01,8,0.021295774647887324,9.0,8.0,8.5,1550.0,1543.0,1546.5,拉伸,,预载起点待核验
XY_Y-11-10-01,9,0.023957746478873238,7.084507042253525,8.0,7.542253521126762,1546.1690140845071,1539.1690140845071,1542.6690140845071,拉伸,,预载起点待核验
XY_Y-11-10-01,10,0.026619718309859153,7.0,8.0,7.5,1546.0,1539.0,1542.5,拉伸,,预载起点待核验
XY_Y-11-10-01,11,0.02928169014084507,7.0,8.0,7.5,1546.0,1539.0,1542.5,拉伸,,预载起点待核验
XY_Y-11-10-01,12,0.03194366197183098,7.0,8.0,7.5,1546.0,1539.0,1542.5,拉伸,,预载起点待核验
XY_Y-11-10-01,13,0.0346056338028169,8.211267605633793,8.0,8.105633802816897,1544.1830985915492,1537.1830985915492,1540.6830985915492,拉伸,,预载起点待核验
XY_Y-11-10-01,14,0.03726760563380282,9.0,8.0,8.5,1543.0,1536.0,1539.5,拉伸,,预载起点待核验
XY_Y-11-10-01,15,0.03992957746478873,9.0,8.0,8.5,1543.0,1536.0,1539.5,拉伸,,预载起点待核验
XY_Y-11-10-01,16,0.04259154929577465,9.0,8.0,8.5,1543.0,1536.0,1539.5,拉伸,,预载起点待核验
XY_Y-11-10-01,17,0.04525352112676056,8.492957746478881,8.0,8.24647887323944,1542.2394366197184,1535.2394366197184,1538.7394366197184,拉伸,,预载起点待核验
XY_Y-11-10-01,18,0.047915492957746476,7.0,8.0,7.5,1540.0,1533.0,1536.5,拉伸,,预载起点待核验
XY_Y-11-10-01,19,0.05057746478873239,7.0,8.0,7.5,1540.0,1533.0,1536.5,拉伸,,预载起点待核验
XY_Y-11-10-01,20,0.053239436619718306,7.0,8.0,7.5,1540.0,1533.0,1536.5,拉伸,,预载起点待核验
XY_Y-11-10-01,21,0.05590140845070422,7.0,8.0,7.5,1540.0,1533.0,1536.5,拉伸,,预载起点待核验
XY_Y-11-10-01,22,0.05856338028169014,8.0,8.0,8.0,1538.0,1531.0,1534.5,拉伸,,预载起点待核验
XY_Y-11-10-01,23,0.06122535211267605,8.0,8.0,8.0,1538.0,1531.0,1534.5,拉伸,,预载起点待核验
XY_Y-11-10-01,24,0.06388732394366196,8.0,8.0,8.0,1538.0,1531.0,1534.5,拉伸,,预载起点待核验
XY_Y-11-10-01,25,0.06654929577464788,8.0,8.0,8.0,1538.0,1531.0,1534.5,拉伸,,预载起点待核验
XY_Y-11-10-01,26,0.0692112676056338,8.0,8.0,8.0,1536.0,1530.0,1533.0,拉伸,,预载起点待核验
XY_Y-11-10-01,27,0.0718732394366197,8.0,8.0,8.0,1536.0,1530.0,1533.0,拉伸,,预载起点待核验
XY_Y-11-10-01,28,0.07453521126760564,8.0,8.0,8.0,1536.0,1530.0,1533.0,拉伸,,预载起点待核验
XY_Y-11-10-01,29,0.07719718309859155,8.0,8.0,8.0,1536.0,1530.0,1533.0,拉伸,,预载起点待核验
XY_Y-11-10-01,30,0.07985915492957746,8.0,8.0,8.0,1535.0,1529.0,1532.0,拉伸,,预载起点待核验
XY_Y-11-10-01,31,0.08252112676056338,8.0,8.0,8.0,1535.0,1529.0,1532.0,拉伸,,预载起点待核验
XY_Y-11-10-01,32,0.0851830985915493,8.0,8.0,8.0,1535.0,1529.0,1532.0,拉伸,,预载起点待核验
XY_Y-11-10-01,33,0.08784507042253521,8.0,8.0,8.0,1535.0,1529.0,1532.0,拉伸,,预载起点待核验
XY_Y-11-10-01,34,0.09050704225352112,9.0,8.0,8.5,1534.0,1528.0,1531.0,拉伸,,预载起点待核验
XY_Y-11-10-01,35,0.09316901408450703,9.0,8.0,8.5,1534.0,1528.0,1531.0,拉伸,,预载起点待核验
XY_Y-11-10-01,36,0.09583098591549295,9.0,8.0,8.5,1534.0,1528.0,1531.0,拉伸,,预载起点待核验
XY_Y-11-10-01,37,0.09849295774647887,9.0,8.0,8.5,1534.0,1528.0,1531.0,拉伸,,预载起点待核验
XY_Y-11-10-01,38,0.10115492957746477,7.0,8.0,7.5,1533.0,1527.0,1530.0,拉伸,,预载起点待核验
XY_Y-11-10-01,39,0.1038169014084507,7.0,8.0,7.5,1533.0,1527.0,1530.0,拉伸,,预载起点待核验
XY_Y-11-10-01,40,0.10647887323943661,7.0,8.0,7.5,1533.0,1527.0,1530.0,拉伸,,预载起点待核验
XY_Y-11-10-01,41,0.10914084507042253,7.0,8.0,7.5,1533.0,1527.0,1530.0,拉伸,,预载起点待核验
XY_Y-11-10-01,42,0.11180281690140843,8.605633802816863,8.0,8.30281690140843,1533.0,1526.1971830985915,1529.5985915492956,拉伸,,预载起点待核验
XY_Y-11-10-01,43,0.11446478873239437,9.0,8.0,8.5,1533.0,1526.0,1529.5,拉伸,,预载起点待核验
