node_label,x0_mm,y0_mm,u_mm,v_mm
1,0.0,0.0,1.15384614e-35,1.15384614e-35
2,5.0,0.0,0.025,2.3076923e-35
3,10.0,0.0,0.05,2.3076923e-35
4,15.0,0.0,0.075,2.3076923e-35
5,20.0,0.0,0.1,2.3076923e-35
6,25.0,0.0,0.125,2.3076923e-35
7,30.0,0.0,0.15,2.3076923e-35
8,35.0,0.0,0.175,2.3076923e-35
9,40.0,0.0,0.2,2.3076923e-35
10,45.0,0.0,0.225,2.3076923e-35
11,50.0,0.0,0.25,2.3076923e-35
12,55.0,0.0,0.275,2.3076923e-35
13,60.0,0.0,0.3,2.3076923e-35
14,65.0,0.0,0.325,2.3076923e-35
15,70.0,0.0,0.35,2.3076923e-35
16,75.0,0.0,0.375,2.3076923e-35
17,80.0,0.0,0.4,2.3076923e-35
18,85.0,0.0,0.425,2.3076923e-35
19,90.0,0.0,0.45,2.3076923e-35
20,95.0,0.0,0.475,2.3076923e-35
21,100.0,0.0,0.5,1.15384614e-35
22,0.0,5.0,2.3076923e-35,0.025
23,5.0,5.0,0.025,0.025
24,10.0,5.0,0.05,0.025
25,15.0,5.0,0.075,0.025
26,20.0,5.0,0.1,0.025
27,25.0,5.0,0.125,0.025
28,30.0,5.0,0.15,0.025
29,35.0,5.0,0.175,0.025
30,40.0,5.0,0.2,0.025
31,45.0,5.0,0.225,0.025
32,50.0,5.0,0.25,0.025
33,55.0,5.0,0.275,0.025
34,60.0,5.0,0.3,0.025
35,65.0,5.0,0.325,0.025
36,70.0,5.0,0.35,0.025
37,75.0,5.0,0.375,0.025
38,80.0,5.0,0.4,0.025
39,85.0,5.0,0.425,0.025
40,90.0,5.0,0.45,0.025
41,95.0,5.0,0.475,0.025
42,100.0,5.0,0.5,0.025
43,0.0,10.0,2.3076923e-35,0.05
44,5.0,10.0,0.025,0.05
45,10.0,10.0,0.05,0.05
46,15.0,10.0,0.075,0.05
47,20.0,10.0,0.1,0.05
48,25.0,10.0,0.125,0.05
49,30.0,10.0,0.15,0.05
50,35.0,10.0,0.175,0.05
51,40.0,10.0,0.2,0.05
52,45.0,10.0,0.225,0.05
53,50.0,10.0,0.25,0.05
54,55.0,10.0,0.275,0.05
55,60.0,10.0,0.3,0.05
56,65.0,10.0,0.325,0.05
57,70.0,10.0,0.35,0.05
58,75.0,10.0,0.375,0.05
59,80.0,10.0,0.4,0.05
60,85.0,10.0,0.425,0.05
61,90.0,10.0,0.45,0.05
62,95.0,10.0,0.475,0.05
63,100.0,10.0,0.5,0.05
64,0.0,15.0,2.3076923e-35,0.075
65,5.0,15.0,0.025,0.075
66,10.0,15.0,0.05,0.075
