test_id,direction,speed_mm_s,image_frame_onset_est,force_peak_candidate_s,image_frame_peak_est,force_drop_candidate_s,image_frame_drop_est,image_frame_last_file,image_frame_last_event_candidate,visual_endpoint_evidence,event_alignment_status,event_vfm_ready
XY_X-05-0.1-01,X,0.2,0,12.782,141,12.837,142,164,待核验（建议回溯至 ROI 完整帧）,末端 Img000128/129 起离开 ROI，Img000164 不作为破坏终点,event_frames_estimated_endpoint_review,False
XY_X-06-1.0-01,X,2.0,0,1.281,58,1.336,61,132,132,Img000132 可见断裂/破坏，候选有效末帧,event_frames_estimated_endpoint_review,False
XY_X-07-10-01,X,20.0,0,0.171,28,0.226,40,80,待核验,Img000080 模糊，末端破坏未确认,event_frames_estimated_endpoint_review,False
XY_Xy-0.1-01,XY,0.2,0,28.151,223,28.503,226,288,288,Img000288 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False
XY_XY-0.1-02,XY,0.2,0,25.612,235,25.832,237,258,258（DIC 输入未覆盖）,Img000258 可见破坏，但 m2inp 当前只到 Img000193,event_frames_estimated_endpoint_review,False
XY_Xy-03-10-01,XY,20.0,0,0.213,7,0.268,9,20,20,Img000020 可见明显破坏，候选有效末帧,event_frames_estimated_endpoint_review,False
XY_Xy-04-1-01,XY,2.0,0,2.473,142,2.55,147,266,250/266（待核验）,Img000250/266 可见破坏，需确认最后有效 ROI,event_frames_estimated_endpoint_review,False
XY_Y-09-0.1-02,Y,0.2,0,109.694,1112,178.979,1819,1824,1824,Img001824 中部断裂，候选有效末帧,event_frames_estimated_endpoint_review,False
XY_Y-10-1-01,Y,2.0,0,8.796,888,,,1557,1557（事件类型待核验）,Img001557 破坏；末端力大幅变化，事件类型需核对,event_frames_estimated_endpoint_review,False
XY_Y-11-10-01,Y,20.0,,0.0,0,,,710,710,Img000710 破坏；记录从高预载开始,preloaded_start_review,False
