test_id,direction,speed_mm_s,photo_count,photo_first_frame,photo_last_frame,photo_set_frequency_Hz,photo_actual_frequency_Hz_est,photo_window_time_s_est,photo_window_displacement_mm_est,dic_export_displacement_mm,dic_export_displacement_source,force_sample_count,force_time_s,force_displacement_mm,force_sensor_frequency_Hz,force_effective_frequency_Hz,force_file,m2inp_frame_count,dic_csv_unique_frames,force_onset_candidate_s,force_peak_candidate_s,force_drop_candidate_s,sync_method,sync_status,vfm_eligible,dic_frame_count_for_frequency,dic_frequency_count_source,dic_frequency_full_record_Hz,dic_frequency_event_window_Hz,dic_frequency_range_low_Hz,dic_frequency_range_high_Hz,dic_frequency_status
XY_X-05-0.1-01,X,0.2,165,0,164,10.0,11.691737363655808,14.027,2.8054,2.58,user_screenshot,14735,14.754,2.9508,1000.0,998.6444354073471,XY/20250529/20250529/x-05-0.1_state_20250529133138_20250529133153.xls,130,151,0.727,12.782,12.837,endpoint_linear_force_onset_to_force_record_end,estimated_unique_force_value,False,130,contiguous_m2inp_or_csv_audited,8.743391622610817,9.196549511656093,8.743391622610817,9.196549511656093,estimated_range
XY_X-06-1.0-01,X,2.0,133,0,132,50.0,49.162011173184354,2.685,5.37,2.66,user_screenshot,2789,2.789,5.578,1000.0,999.6414485478666,XY/20250529/20250529/x-6-1_state_20250529133928_20250529133930.xls,133,133,0.104,1.281,1.336,endpoint_linear_force_onset_to_force_record_end,estimated_unique_force_value,False,133,contiguous_m2inp_or_csv_audited,47.328791681606305,49.162011173184354,47.328791681606305,49.162011173184354,estimated_range
XY_X-07-10-01,X,20.0,81,0,80,200.0,227.9202279202279,0.35100000000000003,7.0200000000000005,8.0,user_screenshot,402,0.401,8.02,1000.0,999.9999999999999,XY/20250529/20250529/x-7-10_state_20250529134610_20250529134611.xls,81,81,0.05,0.171,0.226,endpoint_linear_force_onset_to_force_record_end,estimated_unique_force_value,False,81,contiguous_m2inp_or_csv_audited,199.501246882793,227.9202279202279,199.501246882793,227.9202279202279,estimated_range
XY_Xy-0.1-01,XY,0.2,289,0,288,,7.978281345226883,36.098,7.2196,,not_provided,36244,36.3,7.26,1000.0,998.4297520661157,XY/20250529/20250529/xy-1-0.1_state_20250529102303_20250529102339.xls,289,289,0.202,28.151,28.503,endpoint_linear_force_onset_to_force_record_end,estimated_unique_force_value,False,289,contiguous_m2inp_or_csv_audited,7.933884297520661,7.978281345226883,7.933884297520661,7.978281345226883,estimated_range
XY_XY-0.1-02,XY,0.2,259,0,258,,9.30199019325065,27.736,5.5472,,not_provided,27980,28.049,5.6098,1000.0,997.504367357125,XY/20250529/20250529/xy-2-0.1_state_20250529104919_20250529104947.xls,10,259,0.313,25.612,25.832,endpoint_linear_force_onset_to_force_record_end,estimated_unique_force_value,False,,unavailable_noncontiguous_m2inp,,,,,blocked_incomplete_dic_frames
XY_Xy-03-10-01,XY,20.0,21,0,20,,43.47826086956522,0.46,9.200000000000001,,not_provided,511,0.51,10.2,1000.0,1000.0,XY/20250529/20250529/xy-3-10_state_20250529111421_20250529111422.xls,21,21,0.05,0.213,0.268,endpoint_linear_force_onset_to_force_record_end,estimated_unique_force_value,False,21,contiguous_m2inp_or_csv_audited,39.21568627450981,43.47826086956522,39.21568627450981,43.47826086956522,estimated_range
XY_Xy-04-1-01,XY,2.0,267,0,266,,58.81052398850321,4.523,9.046,,not_provided,4570,4.576,9.152,1000.0,998.4702797202798,XY/20250529/20250529/xy-04-1_state_20250529112959_20250529113003.xls,267,267,0.053,2.473,2.55,endpoint_linear_force_onset_to_force_record_end,estimated_unique_force_value,False,267,contiguous_m2inp_or_csv_audited,58.129370629370634,58.81052398850321,58.129370629370634,58.81052398850321,estimated_range
XY_Y-09-0.1-02,Y,0.2,1825,0,1824,10.0,10.190456503399613,178.99099999999999,35.7982,35.9,user_screenshot,179260,179.516,35.9032,1000.0,998.5683727355779,XY/20250529/20250529/y-9-0.1_state_20250529140828_20250529141127.xls,1825,1825,0.525,109.694,178.979,endpoint_linear_force_onset_to_force_record_end,estimated_unique_force_value,False,1825,contiguous_m2inp_or_csv_audited,10.160654203525034,10.190456503399613,10.160654203525034,10.190456503399613,estimated_range
XY_Y-10-1-01,Y,2.0,1558,0,1557,101.0,102.08497246262786,15.251999999999999,30.503999999999998,30.6,user_screenshot,15328,15.347,30.694,1000.0,998.6968137095198,XY/20250529/20250529/y-10-1_state_20250529141618_20250529141633.xls,1558,1558,0.095,8.796,,endpoint_linear_force_onset_to_force_record_end,estimated_unique_force_value,False,1558,contiguous_m2inp_or_csv_audited,101.45305271388546,102.08497246262786,101.45305271388546,102.08497246262786,estimated_range
XY_Y-11-10-01,Y,20.0,711,0,710,375.0,375.6613756613757,1.89,37.8,37.8,user_screenshot,1889,1.89,37.8,1000.0,998.941798941799,XY/20250529/20250529/y-11-10_state_20250529142519_20250529142520.xls,711,711,,0.0,,endpoint_linear_force_onset_to_force_record_end,estimated_preloaded_start,False,711,contiguous_m2inp_or_csv_audited,375.6613756613757,375.6613756613757,375.6613756613757,375.6613756613757,estimated_range
